"Cluster","Signature","Mean","D"
1,0,0.0274545350672326,0.123894352861498
1,1,0.0827062074612992,0.372256914092093
1,2,0.0704147184697144,0.313805023293317
1,3,0.150213202586355,0.63303532790655
1,4,0.01195702965144,0.353330580853735
1,5,0.0432214692478242,-0.401331795720703
1,6,0.0100581542161318,0.391944133682973
1,7,0.147219404162712,-1.365353805392
1,8,0.0884140707338527,0.388265390040818
1,9,0.0310264860601112,0.189778451595039
1,10,0.0257699350055262,0.380471904892519
1,11,0.00814802482100259,0.240490383655632
1,12,0.00828357675723978,0.52307411289079
1,13,0.0229152986107046,0.452222924124247
1,14,0.0239363671933778,0.0969540815056922
1,15,0.0133588165076411,-0.178883877067662
1,16,0.0780704839592338,-0.518294314485603
1,17,0.0891136786511511,0.580725123443818
1,18,0.0165192432215121,0.317371525145233
1,19,0.0453200617621796,0.487625075467699
1,20,0.00587923585095171,0.675706060712138
2,0,0.0276073339744281,0.0911431779165218
2,1,0.0727309984061023,-0.420663649409878
2,2,0.0647243577377954,-0.207495803183198
2,3,0.145377114825247,0.0394864992071009
2,4,0.0115632061593205,-0.0975578631010484
2,5,0.048546369039206,0.0431790152297722
2,6,0.00936134305376324,-0.17016222802484
2,7,0.141203763782672,-0.861789641464104
2,8,0.0819166662406533,-0.214838258100748
2,9,0.0292138037019202,-0.159722150166602
2,10,0.0222800455679292,-0.402969909809221
2,11,0.00768588617187594,-0.205512513863276
2,12,0.0079131089519868,-0.193878223670823
2,13,0.0213729779421455,-0.191916544383374
2,14,0.0248467473742499,0.222543237448592
2,15,0.013746247161558,0.0168646140381761
2,16,0.1270232878848,3.87154233503147
2,17,0.0790272205783223,-0.321373471160174
2,18,0.0157165623224692,-0.198394067160355
2,19,0.0426435174632344,-0.188795205506463
2,20,0.00549944137983337,-0.35390864909684
3,0,0.0262595262599468,-0.175347938429153
3,1,0.0770227321892741,-0.211869657433645
3,2,0.0651834427728162,-0.245433868098574
3,3,0.136418603186936,-0.709954140218881
3,4,0.0113627709370287,-0.338117468016544
3,5,0.0538299052578329,0.415399307720706
3,6,0.00921744128159837,-0.34589417759687
3,7,0.194347801948418,2.47190855576065
3,8,0.0816655027292739,-0.321387192677734
3,9,0.0296479569949644,-0.133943014284988
3,10,0.0236458284261038,-0.228289515547315
3,11,0.0078017949006031,-0.167922743343721
3,12,0.00779998096681394,-0.474187257966235
3,13,0.0210362889173102,-0.39995949438088
3,14,0.0228646911918921,-0.205041342991833
3,15,0.0141520744022417,0.186400562316891
3,16,0.0758447426408428,-0.559454671120277
3,17,0.0787718626352827,-0.473860783376895
3,18,0.015750428682753,-0.253364318992662
3,19,0.0418980792239892,-0.439020952610601
3,20,0.00547854439747481,-0.556030018289588
