"Cluster","PRS","Mean","D"
1,"AAM",-0.0103091012676061,-0.0659789497633439
1,"AMD",0.000797546588729616,-0.0124943615595224
1,"AD",-0.0928363141106295,-0.113263268268131
1,"AST",0.254236028612126,0.350278148369462
1,"AF",0.086066013277071,0.130875476147121
1,"BD",0.0656405395229929,0.101415019039073
1,"BMI",0.234096341549382,0.383100191036369
1,"CRC",-0.0428150646680238,-0.0988152869144584
1,"BC",0.569450332963035,0.0360676282506347
1,"CVD",0.0240937995081385,0.0775692874911336
1,"CED",0.00197202062210407,0.0128105378788618
1,"CAD",-0.0163029682794817,0.0138592093521051
1,"CD",0.00372770606177769,0.00437323851202072
1,"EOC",0.0154320730135986,0.0216209919082403
1,"EBMDT",-0.0525167057965373,-0.0787533426090299
1,"HBA1C_DF",0.0184045084455205,0.0428240234859192
1,"HEIGHT",0.0138310214761394,-0.0563536412822579
1,"HDL",-0.028740382860847,-0.0544567939890875
1,"HT",0.358533421441727,0.505903954003069
1,"IOP",-0.00382235421467143,0.00866371557861853
1,"ISS",0.280647439461963,0.392150341155113
1,"LDL_SF",-0.078716772895902,-0.120846899529781
1,"MEL",0.00624164253460077,-0.0489378647558264
1,"MS",-0.0197029558312814,-0.0114032698254673
1,"OP",0.0510245390072938,0.0731235404813443
1,"PD",-0.0379301141869828,-0.0688152715473412
1,"POAG",-0.0115281277865108,0.00760074880507109
1,"PC",0.013100005430543,-0.0216498546155642
1,"PSO",0.0189592093174283,0.0176553045861519
1,"RA",0.112622385518055,0.160052801888689
1,"SCZ",0.0457245460281736,0.0796294558357123
1,"SLE",0.0219134628309189,0.0388816308628318
1,"T1D",0.0715268249636965,0.0998580815705325
1,"T2D",0.163918199044625,0.245631131474368
1,"UC",-0.0264834820264673,-0.0410294881415023
1,"VTE",0.0932932961284296,0.108908771454867
2,"AAM",0.0736419256413851,0.0774425961902785
2,"AMD",0.021417584607656,0.025165058653902
2,"AD",-0.00656692350475246,0.00743554476103402
2,"AST",-0.118607492199962,-0.255414582898712
2,"AF",-0.103736711110509,-0.204174908827481
2,"BD",-0.0332075358889558,-0.0542868825089385
2,"BMI",-0.214700083775353,-0.406351333158545
2,"CRC",0.0981067926949583,0.147524029307195
2,"BC",0.551597572908942,0.0187588613475358
2,"CVD",-0.391497682620189,-0.850255879515086
2,"CED",-0.0182634773225022,-0.0237704543409262
2,"CAD",-0.393177522064398,-0.873194919668306
2,"CD",-0.00769832217631432,-0.0181264527800246
2,"EOC",-0.015376476339111,-0.0328442861773759
2,"EBMDT",0.0246331268828488,0.0413464845702052
2,"HBA1C_DF",-0.0835401397902103,-0.155403408291042
2,"HEIGHT",0.130044541149947,0.1747264371039
2,"HDL",0.120326251272489,0.23791511728221
2,"HT",-0.337571531991172,-0.786401676719195
2,"IOP",-0.0209583098225589,-0.0233244286631623
2,"ISS",-0.305532800646264,-0.70045031791622
2,"LDL_SF",-0.105818834274704,-0.256714645808626
2,"MEL",0.0679569134692024,0.0561006944985944
2,"MS",0.00432658557678753,0.0347365053612024
2,"OP",-0.0208312776483566,-0.0393857173753801
2,"PD",0.0452455567688345,0.0703803752468801
2,"POAG",-0.0164127518813154,0.00147816432209751
2,"PC",0.0485791950236431,0.0434515746483062
2,"PSO",-0.0134890494572209,-0.042542905404628
2,"RA",-0.066791363454329,-0.132023130403889
2,"SCZ",-0.0244207406922926,-0.0284500542410505
2,"SLE",-0.0071335425756912,-0.00146961605315238
2,"T1D",-0.0454921095906397,-0.0972889695877096
2,"T2D",-0.21963839872504,-0.467275834765264
2,"UC",0.0190845290815151,0.0328356446023975
2,"VTE",-0.0274215761672458,-0.087480567345658
3,"AAM",0.00519794301663795,-0.0411610704236
3,"AMD",-0.00962196701230976,-0.0244350518937365
3,"AD",0.0923712642558234,0.128054484755146
3,"AST",-0.0235176871438466,-0.0260765781689277
3,"AF",0.119011906830618,0.160771181406719
3,"BD",-0.0399081297111028,-0.0391309883659295
3,"BMI",0.0915502722219144,0.164816389282303
3,"CRC",-0.0596278183250892,-0.111278738777411
3,"BC",0.483976928017134,-0.0742717623602589
3,"CVD",0.890926200814842,1.2837476881738
3,"CED",0.0100810376075208,0.0218357189172693
3,"CAD",0.984483015285672,1.44032873161734
3,"CD",0.0191789738139418,0.0233138618528335
3,"EOC",0.0198607922865071,0.0253284294501162
3,"EBMDT",0.0313121579759691,0.0316962806355361
3,"HBA1C_DF",0.14148106065514,0.193132947631117
3,"HEIGHT",-0.10573071405902,-0.206869391557194
3,"HDL",-0.237366553769212,-0.309330202689158
3,"HT",0.437032923769263,0.563706778619011
3,"IOP",0.0110124681691885,0.0262496805948633
3,"ISS",0.454777416448701,0.58561405049283
3,"LDL_SF",0.453673583509022,0.566055342436388
3,"MEL",0.0194511153671076,-0.0284266133498705
3,"MS",-0.0440238558642509,-0.0409430575189886
3,"OP",-0.0252947883495244,-0.0278602990731464
3,"PD",-0.00840420869487811,-0.0264954793749808
3,"POAG",-0.0264318241511575,-0.0117259359333685
3,"PC",-0.00466316439399526,-0.0420908559241921
3,"PSO",0.0426503790676189,0.0455853950156582
3,"RA",0.00322549768756839,0.0115593557001809
3,"SCZ",-0.0536334342573261,-0.0532047534911866
3,"SLE",-0.04286944435544,-0.0456781347205755
3,"T1D",0.0230832265356272,0.030761555988597
3,"T2D",0.319774777939417,0.425306940458603
3,"UC",0.00289451852574312,-0.00135758648963266
3,"VTE",0.0159974585437723,0.00413210859117276
