Disease,auc,n_events,event_rate,ci_lower,ci_upper
ASCVD,0.31394975404357195,831.0,8.309999999999999,0.2999723008806164,0.33613648203383334
Diabetes,0.2870365480547156,581.0,5.81,0.26843770899580344,0.30453442342425585
Atrial_Fib,0.4142603983531269,376.0,3.8118410381184105,0.39254692818280584,0.4393910866557013
CKD,0.5748836667816063,207.0,2.07,0.5436255066846126,0.6068736092782442
All_Cancers,0.36916119572829137,480.0,4.8,0.3483949891107298,0.3914933684023786
Stroke,0.38273652599149177,129.0,1.29,0.3443613440321669,0.44290374074334077
Heart_Failure,0.5326032445623078,205.0,2.0500000000000003,0.4949754193060347,0.566622413671194
Pneumonia,0.48828624595594194,335.0,3.35,0.4527063035842973,0.5176893189652461
COPD,0.41962431475251827,394.0,3.94,0.3916943250556011,0.4473888165058041
Osteoporosis,0.3981817653449874,219.0,2.198574440317237,0.36469140240491343,0.43982170414210375
Anemia,0.2947895791178845,523.0,5.2299999999999995,0.2718155876680249,0.32167414735456906
Colorectal_Cancer,0.31548882311893933,105.0,1.05,0.2734119980573413,0.3707206532368762
Breast_Cancer,0.20841751144612447,214.0,3.9563690146052877,0.18328902646062745,0.23938218185046028
Prostate_Cancer,0.4599355284365646,204.0,4.486474598636463,0.422822592374935,0.4891543645376098
Lung_Cancer,0.42279049443716177,75.0,0.7506004803843075,0.37835676459524425,0.481246682990158
Bladder_Cancer,0.4089074735364077,49.0,0.4911788291900561,0.33463170467914216,0.4984980719347466
Secondary_Cancer,0.33706234089865805,276.0,2.76,0.3123629547790509,0.37089847044688184
Depression,0.1891786039396572,405.0,4.085956416464891,0.16891680851892626,0.21160809184272752
Anxiety,0.3060973769488306,241.0,2.416040100250626,0.2680350557775496,0.3360677807167044
Bipolar_Disorder,0.13516996748448123,34.0,0.3405448717948718,0.05907652541583126,0.20043238740168653
Rheumatoid_Arthritis,0.3543476105492762,123.0,1.2345679012345678,0.2907811810301071,0.4022584432698209
Psoriasis,0.20038728498139022,40.0,0.40076144674882275,0.11953076063598798,0.2643720199060802
Ulcerative_Colitis,0.25984843892088516,50.0,0.5026641198351262,0.16370052275458993,0.33772877307817756
Crohns_Disease,0.43041919900264924,31.0,0.3110263870773553,0.3174264276084754,0.5611983015816906
Asthma,0.14954009441248056,606.0,6.255806751316197,0.1340222605055279,0.16465886603308835
Parkinsons,0.4973850126489363,46.0,0.4601380414124237,0.4292748454532941,0.5532148862447093
Multiple_Sclerosis,0.2255138247305349,21.0,0.21044192804890272,0.11271879773375809,0.37423812555383595
Thyroid_Disorders,0.1972459955018672,479.0,4.79,0.18139279103546407,0.22468297206479088
