"","x"
"1","Bacterial enteritis"
"2","Viral Enteritis"
"3","Gram negative septicemia"
"4","Bacterial infection NOS"
"5","Staphylococcus infections"
"6","Streptococcus infection"
"7","E. coli"
"8","Viral warts & HPV"
"9","Viral infection"
"10","Candidiasis"
"11","Colon cancer"
"12","Malignant neoplasm of rectum, rectosigmoid junction, and anus"
"13","Neoplasm of unspecified nature of digestive system"
"14","Cancer of bronchus; lung"
"15","Melanomas of skin"
"16","Other non-epithelial cancer of skin"
"17","Breast cancer [female]"
"18","Malignant neoplasm of female breast"
"19","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]"
"20","Malignant neoplasm of uterus"
"21","Malignant neoplasm of ovary"
"22","Cancer of prostate"
"23","Malignant neoplasm of kidney, except pelvis"
"24","Malignant neoplasm of bladder"
"25","Malignant neoplasm, other"
"26","Secondary malignant neoplasm"
"27","Secondary malignancy of lymph nodes"
"28","Secondary malignancy of respiratory organs"
"29","Secondary malignant neoplasm of digestive systems"
"30","Secondary malignant neoplasm of liver"
"31","Secondary malignancy of bone"
"32","Neoplasm of uncertain behavior"
"33","Non-Hodgkins lymphoma"
"34","Benign neoplasm of colon"
"35","Benign neoplasm of lip, oral cavity, and pharynx"
"36","Benign neoplasm of other parts of digestive system"
"37","Lipoma"
"38","Lipoma of skin and subcutaneous tissue"
"39","Other benign neoplasm of connective and other soft tissue"
"40","Benign neoplasm of skin"
"41","Uterine leiomyoma"
"42","Benign neoplasm of ovary"
"43","Hemangioma and lymphangioma, any site"
"44","Thyrotoxicosis with or without goiter"
"45","Secondary hypothyroidism"
"46","Hypothyroidism NOS"
"47","Type 1 diabetes"
"48","Type 2 diabetes"
"49","Type 2 diabetes with ophthalmic manifestations"
"50","Diabetic retinopathy"
"51","Hypoglycemia"
"52","Hyperlipidemia"
"53","Hypercholesterolemia"
"54","Gout"
"55","Disorders of calcium/phosphorus metabolism"
"56","Hyposmolality and/or hyponatremia"
"57","Hyperpotassemia"
"58","Hypopotassemia"
"59","Acidosis"
"60","Hypovolemia"
"61","Obesity"
"62","Iron deficiency anemias, unspecified or not due to blood loss"
"63","Other anemias"
"64","Thrombocytopenia"
"65","Neutropenia"
"66","Bipolar"
"67","Major depressive disorder"
"68","Anxiety disorder"
"69","Alcohol-related disorders"
"70","Alcoholic liver damage"
"71","Tobacco use disorder"
"72","Sleep disorders"
"73","Sleep apnea"
"74","Parkinson's disease"
"75","Degenerative disease of the spinal cord"
"76","Multiple sclerosis"
"77","Migraine"
"78","Hemiplegia"
"79","Epilepsy, recurrent seizures, convulsions"
"80","Other peripheral nerve disorders"
"81","Facial nerve disorders [CN7]"
"82","Inflammatory and toxic neuropathy"
"83","Retinal detachments and defects"
"84","Retinal detachment with retinal defect"
"85","Other retinal disorders"
"86","Macular degeneration (senile) of retina NOS"
"87","Retinal vascular changes and abnomalities"
"88","Glaucoma"
"89","Primary open angle glaucoma"
"90","Cataract"
"91","Senile cataract"
"92","Myopia"
"93","Visual disturbances"
"94","Inflammation of eyelids"
"95","Disorders of conjunctiva"
"96","Other disorders of eyelids"
"97","Ectropion or entropion"
"98","Ptosis of eyelid"
"99","Disorders of lacrimal system"
"100","Epiphora"
"101","Strabismus (not specified as paralytic)"
"102","Disorders of vitreous body"
"103","Otitis media"
"104","Perforation of tympanic membrane"
"105","Hearing loss"
"106","Rheumatic disease of the heart valves"
"107","Mitral valve disease"
"108","Aortic valve disease"
"109","Disease of tricuspid valve"
"110","Essential hypertension"
"111","Hypertensive chronic kidney disease"
"112","Unstable angina (intermediate coronary syndrome)"
"113","Myocardial infarction"
"114","Angina pectoris"
"115","Coronary atherosclerosis"
"116","Other chronic ischemic heart disease, unspecified"
"117","Other acute and subacute forms of ischemic heart disease"
"118","Other forms of chronic heart disease"
"119","Pulmonary heart disease"
"120","Cardiomegaly"
"121","Pericarditis"
"122","Primary/intrinsic cardiomyopathies"
"123","First degree AV block"
"124","Right bundle branch block"
"125","Left bundle branch block"
"126","Paroxysmal supraventricular tachycardia"
"127","Paroxysmal ventricular tachycardia"
"128","Atrial fibrillation and flutter"
"129","Cardiac arrest"
"130","Arrhythmia (cardiac) NOS"
"131","Congestive heart failure (CHF) NOS"
"132","Heart failure NOS"
"133","Cerebrovascular disease"
"134","Occlusion and stenosis of precerebral arteries"
"135","Occlusion of cerebral arteries"
"136","Cerebral artery occlusion, with cerebral infarction"
"137","Cerebral ischemia"
"138","Transient cerebral ischemia"
"139","Late effects of cerebrovascular disease"
"140","Abdominal aortic aneurysm"
"141","Raynaud's syndrome"
"142","Peripheral vascular disease, unspecified"
"143","Stricture of artery"
"144","Phlebitis and thrombophlebitis of lower extremities"
"145","Varicose veins of lower extremity"
"146","Hemorrhoids"
"147","Orthostatic hypotension"
"148","Hypotension NOS"
"149","Acute upper respiratory infections of multiple or unspecified sites"
"150","Acute pharyngitis"
"151","Septal Deviations/Turbinate Hypertrophy"
"152","Nasal polyps"
"153","Chronic pharyngitis and nasopharyngitis"
"154","Diseases of the larynx and vocal cords"
"155","Chronic tonsillitis and adenoiditis"
"156","Chronic sinusitis"
"157","Allergic rhinitis"
"158","Other upper respiratory disease"
"159","Pneumonia"
"160","Bacterial pneumonia"
"161","Pneumococcal pneumonia"
"162","Asthma"
"163","Chronic airway obstruction"
"164","Emphysema"
"165","Obstructive chronic bronchitis"
"166","Bronchiectasis"
"167","Postinflammatory pulmonary fibrosis"
"168","Empyema and pneumothorax"
"169","Pleurisy; pleural effusion"
"170","Pulmonary collapse; interstitial and compensatory emphysema"
"171","Respiratory failure"
"172","Other diseases of respiratory system, NEC"
"173","Disturbances in tooth eruption"
"174","Dental caries"
"175","Periapical abscess"
"176","Chronic periodontitis"
"177","Other diseases of the teeth and supporting structures"
"178","Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
"179","Diseases and other conditions of the tongue"
"180","Esophagitis, GERD and related diseases"
"181","GERD"
"182","Ulcer of esophagus"
"183","Barrett's esophagus"
"184","Reflux esophagitis"
"185","Esophageal bleeding (varices/hemorrhage)"
"186","Stricture and stenosis of esophagus"
"187","Gastric ulcer"
"188","Duodenal ulcer"
"189","Gastritis and duodenitis"
"190","Acute gastritis"
"191","Duodenitis"
"192","Other specified gastritis"
"193","Other disorders of stomach and duodenum"
"194","Acute appendicitis"
"195","Inguinal hernia"
"196","Diaphragmatic hernia"
"197","Umbilical hernia"
"198","Ventral hernia"
"199","Regional enteritis"
"200","Ulcerative colitis"
"201","Celiac disease"
"202","Noninfectious gastroenteritis"
"203","Other intestinal obstruction"
"204","Diverticulosis"
"205","Constipation"
"206","Functional digestive disorders"
"207","Irritable Bowel Syndrome"
"208","Anal and rectal conditions"
"209","Anal and rectal polyp"
"210","Peritonitis and retroperitoneal infections"
"211","Peritoneal adhesions (postoperative) (postinfection)"
"212","Other disorders of intestine"
"213","Gastrointestinal complications"
"214","Other chronic nonalcoholic liver disease"
"215","Other disorders of liver"
"216","Cholelithiasis"
"217","Cholelithiasis with acute cholecystitis"
"218","Cholelithiasis with other cholecystitis"
"219","Calculus of bile duct"
